purchase_date;seeding_date;source;number;genus;species;subspecies;variety;cultivar;synonym;form;ex;info;description;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 281;Lithops ;vallis-mariae;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 060;Lithops ;vallis-mariae;;;;;;;;;;;;;;;;;;;;;;
;;Н. Щелкунова;;Lithops ;terricolor;;;Green Sandpoort;;;;;1313,81, С.Комиссарова;;;;;;;;;;;;;;
12.09.2021;24.08.2020;А. Гончарова;SH 588;Lapidaria;margaretae;;;;;;;;от С.Комиссаровой;;;;;;;;;;;;;;
12.09.2021;05.10.2020;Д. Демин;;Trichodiadema;ALP313;;;;;;;;от С.Комиссаровой;;;;;;;;;;;;;;
12.09.2021;03.03.2021;А. Михальцов;SB 1343;Titanopsis;hugo-schlechteri;;;;;;;;от С.Комиссаровой;;;;;;;;;;;;;;
12.09.2021;20.12.2020;Кивули;;Frithia;humilis;;;;;;;;от С.Комиссаровой;;;;;;;;;;;;;;
12.09.2021;20.12.2020;Кивули;;Frithia ;pulchra;;;;;;;;от С.Комиссаровой;;;;;;;;;;;;;;
12.09.2021;20.12.2020;Кивули;;Fenestratia;;;;;;;;;от С.Комиссаровой;;;;;;;;;;;;;;
12.09.2021;05.10.2020;Адениум Дома;;Playospilos;nellii;;;;;;;;от С.Комиссаровой;;;;;;;;;;;;;;
12.09.2021;28.08.2020;Адениум Дома;;Faucaria;tuberculosa;;;;;;;;от С.Комиссаровой;;;;;;;;;;;;;;
12.09.2021;30.04.20202;Карина Филлипенко;;Mestoklema;Macrorrhizum;;;;;;;;от С.Комиссаровой;;;;;;;;;;;;;;
